,Unnamed: 0,smi,ID,mol,SA score,Mol wt,fitness value,prop
340525,3850460,C(/N)(=N/O)\C(NC)=O,MCULE-4165941405,<rdkit.Chem.rdchem.Mol object at 0x00000140C9B31170>,3.12025294569954,117.108,-1.5212,-1.5212
163765,2182411,N(C(CC)=O)C1C=CC(=CC=1C)C,MCULE-3026969722,<rdkit.Chem.rdchem.Mol object at 0x00000140C9B31120>,1.45695139836048,177.247,2.65194,2.65194
98250,1133869,C(C)(=O)NC1=CC=C(C(C)=C1)N,MCULE-8808494780,<rdkit.Chem.rdchem.Mol object at 0x00000140C9B310D0>,1.66443771525399,164.208,1.53562,1.53562
216332,2791569,OC(C1OC(C2=CC=NC=C2)=CC=1)=O,MCULE-8909226955,<rdkit.Chem.rdchem.Mol object at 0x00000140C9B31080>,1.96393173953829,189.17,2.0398,2.0398
535384,5245062,COC1=C(N)C=CC(P(C)(C)=O)=C1,MCULE-7758987078,<rdkit.Chem.rdchem.Mol object at 0x00000140C9B31030>,2.64245106222602,199.19,1.5254,1.5254
407638,4244176,C1(C=O)C(CC)=NN(C)C=1CC,MCULE-8749814035,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834F80>,2.84611175371553,166.224,1.3574,1.3574
161386,2175656,CC1N(C)C(CO)=NN=1,MCULE-6715860418,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834F30>,2.50880493030248,127.147,-0.38418,-0.38418
467123,4497658,OC(C1=C(NCC=C)N=CC=C1)=O,MCULE-8164046836,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834EE0>,2.18749744231652,178.191,1.3777,1.3777
487896,4642933,CC(OC(NC[C@@H]1NCC1)=O)(C)C,MCULE-9210173861,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834E90>,2.76295006074719,186.255,0.873,0.873
479273,4611483,CC(C1=NC(N)=CC=C1)(O)C,MCULE-9696999930,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834E40>,2.44677540261023,152.197,0.8912,0.8912
295013,3580004,C1(C2=NNN=N2)=CC2=C(C=C1)NC=C2,MCULE-3872408086,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834DF0>,2.37301355272511,185.19,1.348,1.348
54609,579539,C(O)(=O)C(C)OC1C=CC=C(C=1)C=O,MCULE-7089356652,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834DA0>,2.36533628819045,194.186,1.351,1.351
516247,4990165,N1C(O)=CC=NC=1SCC(C)=O,MCULE-1928362564,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834D50>,2.63551778518406,184.22,0.8633,0.8633
261318,3335019,CNC1C(C2=CC=CC=C2)C1,MCULE-7985030155,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834D00>,2.60939851590907,147.221,1.7619,1.7619
271768,3420269,C1=NN(CC(=O)O)C=C1CCCO,MCULE-7045042009,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834CB0>,2.26959359616267,184.195,-0.1074,-0.1074
211703,2776522,C1(C(=O)O)C=CC=C(NC(N)=O)C=1C,MCULE-4687267066,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834C60>,1.72003276864432,194.19,1.18382,1.18382
293305,3561489,C1(C(O)=O)C=NN2CCOC=12,MCULE-7357837604,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834C10>,3.04787775565207,154.125,-0.0263,-0.0263
154830,2117588,OC(C1(C#N)CCCC1)=O,MCULE-1638254148,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834BC0>,2.75522834103449,139.154,1.15498,1.15498
404274,4227284,C(O)(=O)[C@H](C1=CC=C(C)C=C1)CN,MCULE-9930792999,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834B70>,2.31736919455456,179.219,1.12192,1.12192
445069,4374835,C(/C)(\C)=C\C(=NNC(=S)N)C,MCULE-5681662329,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834B20>,3.1070289077258,171.269,1.1617,1.1617
216150,2791269,CC(CC(C1SC=CC=1)N)C,MCULE-3102639275,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834AD0>,2.71336033029351,169.293,2.794,2.794
378996,4151766,N#CCC1N=CN(C)C=1,MCULE-7120040193,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834A80>,3.01270246876402,121.143,0.48618,0.48618
564308,5471727,C(OC1=CC=C(N)C=C1OC)(=O)C,MCULE-3705459882,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834A30>,1.75078656319564,181.191,1.2027,1.2027
531347,5129598,C1(OC)(C(OC)=O)CCC(O)CC1,MCULE-7144286560,<rdkit.Chem.rdchem.Mol object at 0x00000140C98349E0>,2.79767447528355,188.223,0.4795,0.4795
461346,4470155,C1(=C(C=CC=N1)C)OCC1CCCN1,MCULE-6444819329,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834990>,2.82877727762463,192.262,1.52082,1.52082
196517,2664070,CC(C1=NNC(=O)C=C1)(C)C,MCULE-4893864127,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834940>,2.48536320101871,152.197,1.0674,1.0674
297005,3598805,N(=O)(=O)C1C=CC(=CC=1)NCC#C,MCULE-8175600866,<rdkit.Chem.rdchem.Mol object at 0x00000140C98348F0>,2.16863975000883,176.175,1.6399,1.6399
367794,4116555,CN1C(C2C=CC(N)=NC=2)CCC1,MCULE-1901725018,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834850>,2.73687130325667,177.251,1.4305,1.4305
475592,4596568,C1(=O)N(C2CC2)C(C(=O)N1)CN,MCULE-5781657582,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834800>,3.3530133823272,169.184,-0.972099999999999,-0.972099999999999
264860,3344139,N(CCC)C(=N)N,MCULE-8286774592,<rdkit.Chem.rdchem.Mol object at 0x00000140C98347B0>,2.23241589421639,101.153,-0.12053,-0.12053
157985,2167718,CCC(C1=CC2=C(OCCO2)C=C1)N,MCULE-3746130228,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834760>,2.5060536566115,193.246,1.8676,1.8676
254860,3315197,C(N)(=O)NN=CC1=CC(=CC=C1O)O,MCULE-3273865345,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834710>,2.35639313629943,195.178,0.1,0.1
580123,5629840,[C@H](CC#N)(N)C1=CC=C(CC)C=C1,MCULE-3186141736,<rdkit.Chem.rdchem.Mol object at 0x00000140C98346C0>,2.52310820554357,174.247,2.16248,2.16248
168014,2218547,C1(N)=C(C)C=C(C(C)=C1)OCCC,MCULE-3299772076,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834670>,1.92683447528355,179.263,2.67444,2.67444
